sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
81,0.671875,0.86328125,0.19140625,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
82,0.7109375,0.931640625,0.220703125,120,256,128,0,0,0,0,0,0.000896306504728379,0,0
83,0.513671875,0.76171875,0.248046875,157,256,128,0,0,0,0,0,0.000896306504728379,0,0
84,0.619140625,0.8671875,0.248046875,152,256,128,0,0,0,0,0,0.000896306504728379,0,0
85,0.599609375,0.849609375,0.25,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
86,0.734375,0.947265625,0.212890625,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
87,0.580078125,0.841796875,0.26171875,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
88,0.587890625,0.8359375,0.248046875,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
89,0.76171875,0.970703125,0.208984375,107,256,128,0,0,0,0,0,0.000896306504728379,0,0
90,0.654296875,0.87109375,0.216796875,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
91,0.80078125,0.962890625,0.162109375,106,256,128,0,0,0,0,0,0.000896306504728379,0,0
92,0.830078125,0.9765625,0.146484375,92,256,128,0,0,0,0,0,0.000896306504728379,0,0
93,0.595703125,0.76953125,0.173828125,132,256,128,0,0,0,0,0,0.000896306504728379,0,0
94,0.6171875,0.84375,0.2265625,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
95,0.63671875,0.845703125,0.208984375,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
96,0.693359375,0.884765625,0.19140625,133,256,128,0,0,0,0,0,0.000896306504728379,0,0
97,0.55859375,0.828125,0.26953125,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
98,0.669921875,0.904296875,0.234375,139,256,128,0,0,0,0,0,0.000896306504728379,0,0
99,0.580078125,0.794921875,0.21484375,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
100,0.697265625,0.892578125,0.1953125,122,256,128,0,0,0,0,0,0.000896306504728379,0,0
