sample_idx,init_acc,final_acc,improvement,num_changes,total_token_edits,total_edit_steps,psi_escapes,psi_forward_events,psi_net_changes,psi_masks,psi_visible_random,psi_noise_t,converged,early_stopped
83,0.513671875,0.767578125,0.25390625,171,256,128,0,0,0,0,0,0.000896306504728379,0,0
84,0.619140625,0.87890625,0.259765625,147,256,128,0,0,0,0,0,0.000896306504728379,0,0
85,0.599609375,0.857421875,0.2578125,140,256,128,0,0,0,0,0,0.000896306504728379,0,0
86,0.734375,0.951171875,0.216796875,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
87,0.580078125,0.79296875,0.212890625,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
88,0.587890625,0.8046875,0.216796875,136,256,128,0,0,0,0,0,0.000896306504728379,0,0
89,0.76171875,0.96484375,0.203125,111,256,128,0,0,0,0,0,0.000896306504728379,0,0
90,0.654296875,0.8203125,0.166015625,128,256,128,0,0,0,0,0,0.000896306504728379,0,0
91,0.80078125,0.96484375,0.1640625,99,256,128,0,0,0,0,0,0.000896306504728379,0,0
92,0.830078125,0.9921875,0.162109375,92,256,128,0,0,0,0,0,0.000896306504728379,0,0
93,0.595703125,0.8125,0.216796875,144,256,128,0,0,0,0,0,0.000896306504728379,0,0
94,0.6171875,0.88671875,0.26953125,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
95,0.63671875,0.841796875,0.205078125,137,256,128,0,0,0,0,0,0.000896306504728379,0,0
96,0.693359375,0.931640625,0.23828125,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
97,0.55859375,0.845703125,0.287109375,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
98,0.669921875,0.892578125,0.22265625,142,256,128,0,0,0,0,0,0.000896306504728379,0,0
99,0.580078125,0.8125,0.232421875,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
100,0.697265625,0.888671875,0.19140625,141,256,128,0,0,0,0,0,0.000896306504728379,0,0
101,0.5859375,0.814453125,0.228515625,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
102,0.61328125,0.865234375,0.251953125,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
103,0.70703125,0.93359375,0.2265625,116,256,128,0,0,0,0,0,0.000896306504728379,0,0
104,0.791015625,0.95703125,0.166015625,106,256,128,0,0,0,0,0,0.000896306504728379,0,0
105,0.671875,0.87109375,0.19921875,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
106,0.75,0.95703125,0.20703125,120,256,128,0,0,0,0,0,0.000896306504728379,0,0
107,0.744140625,0.951171875,0.20703125,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
108,0.611328125,0.86328125,0.251953125,155,256,128,0,0,0,0,0,0.000896306504728379,0,0
109,0.716796875,0.81640625,0.099609375,71,158,79,0,0,0,0,0,0.000896306504728379,0,1
110,0.73046875,0.943359375,0.212890625,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
111,0.59375,0.853515625,0.259765625,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
112,0.533203125,0.80859375,0.275390625,150,256,128,0,0,0,0,0,0.000896306504728379,0,0
113,0.646484375,0.88671875,0.240234375,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
114,0.779296875,0.962890625,0.18359375,103,256,128,0,0,0,0,0,0.000896306504728379,0,0
115,0.560546875,0.7890625,0.228515625,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
116,0.63671875,0.880859375,0.244140625,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
117,0.71875,0.9140625,0.1953125,121,256,128,0,0,0,0,0,0.000896306504728379,0,0
118,0.57421875,0.806640625,0.232421875,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
119,0.853515625,0.986328125,0.1328125,95,256,128,0,0,0,0,0,0.000896306504728379,0,0
120,0.654296875,0.89453125,0.240234375,143,256,128,0,0,0,0,0,0.000896306504728379,0,0
121,0.671875,0.873046875,0.201171875,126,256,128,0,0,0,0,0,0.000896306504728379,0,0
122,0.583984375,0.833984375,0.25,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
123,0.609375,0.884765625,0.275390625,146,256,128,0,0,0,0,0,0.000896306504728379,0,0
124,0.7265625,0.927734375,0.201171875,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
125,0.591796875,0.83203125,0.240234375,135,256,128,0,0,0,0,0,0.000896306504728379,0,0
126,0.580078125,0.84765625,0.267578125,160,256,128,0,0,0,0,0,0.000896306504728379,0,0
127,0.7578125,0.94140625,0.18359375,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
128,0.8828125,0.998046875,0.115234375,78,245,125,3,9,9,0,9,0.000896306504728379,0,0
129,0.564453125,0.830078125,0.265625,158,256,128,0,0,0,0,0,0.000896306504728379,0,0
130,0.626953125,0.873046875,0.24609375,131,256,128,0,0,0,0,0,0.000896306504728379,0,0
131,0.5546875,0.833984375,0.279296875,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
132,0.59765625,0.830078125,0.232421875,117,256,128,0,0,0,0,0,0.000896306504728379,0,0
133,0.69921875,0.90625,0.20703125,127,256,128,0,0,0,0,0,0.000896306504728379,0,0
134,0.6875,0.939453125,0.251953125,132,256,128,0,0,0,0,0,0.000896306504728379,0,0
135,0.654296875,0.88671875,0.232421875,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
136,0.814453125,0.9765625,0.162109375,92,256,128,0,0,0,0,0,0.000896306504728379,0,0
137,0.654296875,0.796875,0.142578125,93,176,88,0,0,0,0,0,0.000896306504728379,0,1
138,0.58203125,0.806640625,0.224609375,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
139,0.705078125,0.876953125,0.171875,118,256,128,0,0,0,0,0,0.000896306504728379,0,0
140,0.759765625,0.955078125,0.1953125,115,256,128,0,0,0,0,0,0.000896306504728379,0,0
141,0.7109375,0.90625,0.1953125,125,256,128,0,0,0,0,0,0.000896306504728379,0,0
142,0.66015625,0.90234375,0.2421875,145,256,128,0,0,0,0,0,0.000896306504728379,0,0
143,0.69140625,0.92578125,0.234375,140,256,128,0,0,0,0,0,0.000896306504728379,0,0
144,0.65234375,0.845703125,0.193359375,134,256,128,0,0,0,0,0,0.000896306504728379,0,0
145,0.61328125,0.892578125,0.279296875,149,256,128,0,0,0,0,0,0.000896306504728379,0,0
146,0.701171875,0.849609375,0.1484375,116,256,128,0,0,0,0,0,0.000896306504728379,0,0
147,0.615234375,0.853515625,0.23828125,156,256,128,0,0,0,0,0,0.000896306504728379,0,0
148,0.806640625,0.939453125,0.1328125,90,256,128,0,0,0,0,0,0.000896306504728379,0,0
149,0.705078125,0.86328125,0.158203125,123,256,128,0,0,0,0,0,0.000896306504728379,0,0
150,0.5625,0.72265625,0.16015625,113,210,105,0,0,0,0,0,0.000896306504728379,0,1
151,0.603515625,0.826171875,0.22265625,138,256,128,0,0,0,0,0,0.000896306504728379,0,0
